"Home","Home"
"Go to Home Page","Zur Home Page"
"Return to %s","Zurück zu %s"
"News","Nachrichten"
"Cannot retrieve the news","die Nachricht ist unmöglich zu sehen"
"Category Manager","Kategorien verwalten"
"Add Category","Kategorie hinzufügen"
"Comment Manager","Kommentare verwalten"
"News Manager","Nachrichten verwalten"
"Add New Article","Neuer Artikel hinzufügen"
"Save Category","Kategorie speichern"
"Delete Category","Kategorie löschen"
"Edit Category '%s'","Kategorie %s bearbeiten"
"ID","ID"
"Title","Titel"
"URL Key","URL-Bezeichner"
"Sort Order","Reihenfolge"
"Are you sure?","Sind Sie sicher?"
"Category Information","Kategorie Information"
"Keywords","Schlüsselwörter"
"Meta Keywords","Meta-Schlüsselwörter"
"Description","Beschreibung"
"Meta Description","Meta-Beschreibung"
"Save Comment","Kommentar speichern"
"Delete Comment","Kommentar löschen"
"Edit Comment By '%s'","Kommentar von %s bearbeiten"
"Add Comment","Kommentar hinzufügen"
"Comment","Kommentar"
"Newsitem Title","Nachrichtentitel"
"User","Kunde"
"E-mail","Email"
"Created","Erstellt am"
"Status","Status"
"Action","Aktion"
"News Article","Nachrichtsartikel"
"Go to News Article","Zur Nachrichtsartikel"
"Approve","Annehmen"
"Not Approve","Nicht annehmen"
"Comment Information","Kommentarinformation"
"Email Address","E-Mail Adresse"
"Unapproved","Nicht angenommen"
"Approved","Angenommen"
"Save News Article","Artikel speichern"
"Delete News Article","Artikel löschen"
"Edit News Article '%s'","Artikel '%s' bearbeiten"
"Add News Article","Artikel hinzufügen"
"Author","Autor"
"Updated","Zuletzt geändert"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Comments","Kommentare"
"View comments","Kommentare anzeigen"
"Change status","Status ändern"
"Main Information","Hauptinformation"
"Additional Options","Zusätzliche Optionen"
"News Time Settings","Nachrichtzeit Einstellungen"
"News Time","Nachrichtzeit"
"Next to the Article will be stated current time","Neben dem Artikel werden aktuelle Uhrzeit angegeben"
"Publish From:","Veröffentlichen über:"
"Hours","Stunden"
"Minutes","Minuten"
"Publish Until:","Veröffentlichen bis:"
"Meta Data","Meta-Daten"
"Advanced Post Options","Post erweiterte Optionen"
"Author name","Autor Name"
"News information","Nachricht Information"
"Store View","Store View"
"Category","Kategorie"
"File","Datei"
"Delete File","Datei löschen"
"Link Name","Link Name"
"Add Tags","Tags hinzufügen"
"Use Full Description Image","Verwenden Ausführliche Beschreibung Bild"
