"Home","Home"
"Go to Home Page","Torna alla home page"
"Return to %s","Torna a %s"
"News","Notizie"
"Cannot retrieve the news","Impossibile vedere la notizia"
"Category Manager","Gestione categorie"
"Add Category","Aggiungi categoria"
"Comment Manager","Gestione commenti"
"News Manager","Gestione notizie"
"Add New Article","Aggiungi articolo"
"Save Category","Salva categoria"
"Delete Category","Elimina categoria"
"Edit Category '%s'","Modifica categoria %s"
"ID","ID"
"Title","Titolo"
"URL Key","URL leggibile"
"Sort Order","Posizione"
"Action","Azione"
"Edit","Modifica"
"Delete","Elimina"
"Are you sure?","Confermi?"
"Category Information","Informazioni sulla categoria"
"Keywords","Keyword"
"Meta Keywords","Meta tag Keywords"
"Description","Description"
"Meta Description","Meta tag Description"
"Save Comment","Salva commento"
"Delete Comment","Elimina commento"
"Edit Comment By '%s'","Modifica commento di %s"
"Add Comment","Aggiungi commento"
"Comment","Commento"
"Newsitem Title","Titolo notizia"
"User","Utente"
"E-mail","Email"
"Created","Creato"
"Status","Stato"
"Action","Azione"
"News Article","Testo notizia"
"Go to News Article","Vai all'articolo"
"Approve","Approva"
"Not Approve","Non approvare"
"Comment Information","Informazioni sul commento"
"User","Utente"
"Email Address","Indirizzo email"
"Unapproved","Non approvato"
"Approved","Approvato"
"Save News Article","Salva notizia"
"Delete News Article","Elimina notizia"
"Edit News Article '%s'","Modifica notizia"
"Add News Article","Aggiungi notizia"
"Author","Autore"
"Updated","Aggiornato"
"Enabled","Attivato"
"Disabled","Disattivato"
"Comments","Commenti"
"View comments","Vedi commenti"
"Change status","Cambia stato"
"Main Information","Informazioni principali"
"Additional Options","Opzioni aggiuntive"
"News Time Settings","Impostazioni orario notizie"
"News Time","Orario della notizia"
"Next to the Article will be stated current time","Di fianco all'articolo verra' indicata l'ora corrente"
"Publish From:","Pubblicato dalle:"
"Hours","Ore"
"Minutes","Minuti"
"Publish Until:","Pubblico fino alle"
"Meta Data","Metadati"
"Advanced Post Options","Opzioni avanzate"
"Author name","Nome autore"
"News information","Informazioni sulla notizia"
"Store View","Vista negozio"
"Category","Categoria"
"File","File"
"Delete File","Elimina file"
"Link Name","Nome link"
"Add Tags","Aggiungi tag"
"Use Full Description Image","Usa immagine abbinata al testo completo"
"Image for Short Description","Immagine abbinata al testo breve"
"Resize Image Height","Ridimensiona altezza"
"Resize Image Width","Ridimensiona larghezza"
"Show Image","Mostra immagine"
"Yes","Si"
"No","No"
"Short Description","Testo breve"
"Image for Full Description","Immagine abbinata al testo completo"
"Full Description","Testo completo"
"Comments are not enabled.","I commenti sono disattivati"
"Your comment has been successfully sent. It will be displayed after approval by our admin","Il tuo commento e' stato inviato! Apparira' nel sito dopo l'approvazione del moderatore."
"Thank you for adding a comment.","Grazie per la tua partecipazione."
"Page access error","Errore di accesso alla pagina"
"Category was successfully saved","Categoria salvata"
"Category was successfully deleted","Categoria eliminata"
"Comment was successfully saved","Commento salvato"
"Comment was successfully deleted","Commento eliminato"
"News article does not exist","La notizia non esiste"
"News Item with such url_key already exists","Lo stesso URL leggibile e' gia' stato usato"
"News Category with such url_key already exists","Lo stesso URL leggibile e' gia' stato usato"
"News article has been successfully saved","Notizia salvata"
"No items to save","Non vi e' nessun contenuto da salvare"
"Platform version is not correct for News module!","La versione del software non e' compatibile con l'estensione News!"
"Submit Comment","Invia commento"
"Name","Nome"
"Email","Email"
"You must be logged in to post a comment.","Devi accedere al sito per inviare un commento."
"click here","clicca qui"
"to log in","per accedere"
"News Settings","Impostazioni notizie"
"News Title","Titolo pagina notizie"
"Route to News","URL pagina notizie"
"Show Breadcrumbs","Mostra percorso"
"Articles per Page","Articoli per pagina"
"Articles Limit", "Limite Notizie"
"The number of articles displayed per page","Numero di articoli elencati su ogni pagina"
"Show Latest News Block","Mostra blocco Ultime notizie"
"Articles in the Latest News Block","N. di articoli nel blocco Ultime notizie"
"Set the number","Scrivi il numero"
"Show Date of the News","Mostra data notizia"
"Show Time of the News","Mostra orario notizia"
"Show Author of the News","Mostra autore notizia"
"Show Category of the News","Mostra categoria notizia"
"default: view more","predefinito: view more"
"Name of the Link","Testo del link"
"example: view more","esempio: view more"
"Tags for the News","Permetti di taggare le notizie"
"Enable Google Button for News","Bottone condividi su Google"
"Enable Twitter Button for News","Bottone condividi su Twitter"
"Enable Facebook Button for News","Bottone condividi su Facebook"
"Enable LinkedIn Button for News","Bottone condividi su LinkedIn"
"Default Meta Title","Meta tag Title predefinito"
"Default Meta Keywords","Meta tag Keywords predefinito"
"Default Meta Description","Meta tag Description predefinito"
"Short Description Image Max Width","Max largh. immagine testo breve"
"Short Description Image Max Height","Max alt. immagine testo breve"
